Season,Club,League,Goals,Minutes,Mins_Per_Goal,Status,Mins_Per_Goal_Calc,Phase
2016 - 2017,Wolfsburg,Bundesliga,0,47,0.5,Complete,,Development
2017 - 2018,Wolfsburg,Bundesliga,0,287,3.2,Complete,,Development
2018 - 2019,Charleroi,First Division A (Bel),12,2028,22.5,Complete,169,Development
2019 - 2020,Lille,Ligue 1,13,2287,25.4,Complete,175.9,Development
2020 - 2021,Napoli,Serie A,10,1573,17.5,Complete,157.3,Transition
2021 - 2022,Napoli,Serie A,14,1983,22,Complete,141.6,Transition
2022 - 2023,Napoli,Serie A,26,2566,28.5,Complete,98.7,Elite Peak
2023 - 2024,Napoli,Serie A,15,1982,22,Complete,132.1,Elite Peak
2024 - 2025,Galatasaray,Super Lig,26,2372,26.4,Complete,91.2,Elite Peak
2025 - 2026,Galatasaray,Super Lig,12,1438,16,Ongoing,119.8,Ongoing
